Periode,Honda,Yamaha,Suzuki,Kawasaki,Others,Total
5-Jan,208204.00,83114.00,83846.00,7701.00,4218.00,387083.00
5-Feb,192320.00,78640.00,82381.00,6821.00,3244.00,363406.00
5-Mar,217344.00,79752.00,96876.00,4147.00,2601.00,400720.00
5-Apr,205691.00,94465.00,100507.00,3911.00,3170.00,407744.00
5-May,219358.00,104530.00,87016.00,5496.00,3208.00,419608.00
5-Jun,241295.00,120029.00,104493.00,7435.00,3703.00,476955.00
5-Jul,238044.00,117049.00,106515.00,7140.00,3499.00,472247.00
5-Aug,256591.00,120293.00,115136.00,9879.00,2888.00,504787.00
5-Sep,237039.00,101159.00,102252.00,10152.00,2225.00,452827.00
5-Oct,283672.00,108008.00,90829.00,5727.00,2318.00,490554.00
5-Nov,188506.00,95897.00,60217.00,3457.00,1990.00,350067.00
5-Dec,160126.00,121659.00,61894.00,2262.00,2247.00,348188.00
Total,2648190.00,1224595.00,1091962.00,74128.00,35311.00,5074186.00
