Periode,Honda,Yamaha,Suzuki,Kawasaki,Others,Total
5-Jan,"208,204","83,114","83,846","7,701","4,218","387,083"
5-Feb,"192,320","78,640","82,381","6,821","3,244","363,406"
5-Mar,"217,344","79,752","96,876","4,147","2,601","400,720"
5-Apr,"205,691","94,465","100,507","3,911","3,170","407,744"
5-May,"219,358","104,530","87,016","5,496","3,208","419,608"
5-Jun,"241,295","120,029","104,493","7,435","3,703","476,955"
5-Jul,"238,044","117,049","106,515","7,140","3,499","472,247"
5-Aug,"256,591","120,293","115,136","9,879","2,888","504,787"
5-Sep,"237,039","101,159","102,252","10,152","2,225","452,827"
5-Oct,"283,672","108,008","90,829","5,727","2,318","490,554"
5-Nov,"188,506","95,897","60,217","3,457","1,990","350,067"
5-Dec,"160,126","121,659","61,894","2,262","2,247","348,188"
Total,"2,648,190","1,224,595","1,091,962","74,128","35,311","5,074,186"
