Periode,Honda,Yamaha,Suzuki,Kawasaki,Others,Total
16-Jan,287776,112124,5587,10681,95,416263
16-Feb,362668,139235,11721,11081,159,524864
16-Mar,440171,108416,5085,9482,187,563341
16-Apr,348626,120158,1833,7190,229,478036
16-May,339128,112145,3109,6909,215,461506
16-Jun,380019,127224,3780,7708,147,518878
16-Jul,203659,91015,3800,6584,95,305153
16-Aug,388847,123972,6445,8085,187,527536
16-Sep,423256,119717,4628,8036,183,555820
16-Oct,446611,114493,2469,7500,128,571201
16-Nov,450331,107501,4857,8104,130,570923
16-Dec,309796,118078,3510,6262,118,437764
Total,4380888,1394078,56824,97622,1873,5931285
